fid,referencia,codigo_mun,plano_cata,codigo,inquilinos,deuda_total,UC_inquilinosField7,tipo_familiaField5,ingresos_mean,deuda_mean,tipo_familia_meanmean,count,300m,ingresos_meses,ZVeco,familia,Ifam,ISuivi,ZVvul,OBJECTID,id_padron,TIPO,NOMBRE,ID_T,Eco_mean,suivi_mean,vul_mean,IndiceEco_quar,IndiceFam_quar,IndiceGen_quar,nombre_quartier
796,"79283","77921287",XM7172H,40-01248,17659.2,0,ALQUILER GENERAL,"2",17659.2,0,2,1,1,1471.6,1.2,1.2,2.4,2.2,3.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
802,"79308","77961302",XM7173B,40-01285,18398.28,1060,ALQUILER GENERAL,"2",18398.28,1060,2,1,1,1533.19,2.4,1.2,3.6,2.2,4.6,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
817,"80282","78011286",XM7182G,40-02665,14057.28,3087,ALQUILER GENERAL,"2",14057.28,3087,2,1,1,1171.44,3.2,1.2,4.4,2.2,5.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
828,"81323","78111329",XM7183C,40-01272,7451.88,1257,ALQUILER GENERAL,"3",10275.2,419,2.33333333333333,3,1,856.266666666667,2.4,1.6,4,2.6,5,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
835,"81312","78101314",XM7183A,40-01279,11069.94,0,ALQUILER GENERAL,"2",11069.94,0,2,1,1,922.495,1.6,1.2,2.8,2.2,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
839,"83321","78321320",XM7183A,40-01294,7905.8,0,ALQUILER GENERAL,"2",7905.8,0,2,1,1,658.816666666667,1.6,1.2,2.8,2.2,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
853,"82287","78281282",XM7182G,40-01292,5766.88,0,ALQUILER GENERAL,"3",5766.88,0,3,1,1,480.573333333333,2,2,4,3,5,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
856,"84316","78471314",XM7183A,40-01314,5572.8,93,ALQUILER GENERAL,"1",5572.8,93,1,1,1,464.4,2.4,0.4,2.8,1.4,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
857,"77251","77711252",XM7172F,40-01299,2,1758,ALQUILER GENERAL,"3",2,1758,3,1,1,0.166666666666667,3.6,2,5.6,3,6.6,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
859,"77278","77741272",XM7172F,40-01297,13453.44,0,ALQUILER GENERAL,"2",13453.44,0,2,1,1,1121.12,1.2,1.2,2.4,2.2,3.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
